CustomerID,Active_Subscriptions,Monthly_Subscriptions,Weekly_Subscriptions,Total_Monthly_Spend,Upcoming_Total,Next_Debit_Date,Current_Balance,Risk_Level,Top_Merchants,FR8_Message
CUST100031,3,3,0,8152.37,8159.5,2024-07-21,1656569.0,High,"Coursera, Disney+Hotstar, LinkedIn","You have 3 active subscription(s). Total monthly spend: ₹8,152.37. Next debit: 2024-07-21."
CUST100032,3,3,0,2361.31,2358.55,2024-06-18,2024547.72,Low,"Adobe, Microsoft, Swiggy","You have 3 active subscription(s). Total monthly spend: ₹2,361.31. Next debit: 2024-06-18."
CUST100033,3,2,1,827.86,686.52,2024-06-27,789215.34,Low,"Google, Microsoft, TimesOfIndia",You have 3 active subscription(s). Total monthly spend: ₹827.86. Next debit: 2024-06-27.
CUST100034,4,3,1,2146.55,1410.1,2024-06-23,518300.5,Low,"BESCOM, AnytimeFitness, Spotify, Swiggy","You have 4 active subscription(s). Total monthly spend: ₹2,146.55. Next debit: 2024-06-23."
CUST100035,4,4,0,6246.81,6251.11,2024-06-07,1223575.7,High,"Adobe, LinkedIn, Netflix, Zoom","You have 4 active subscription(s). Total monthly spend: ₹6,246.81. Next debit: 2024-06-07."
CUST100036,3,3,0,667.4,668.97,2024-07-10,971089.33,High,"Amazon, Swiggy, YouTube",You have 3 active subscription(s). Total monthly spend: ₹667.40. Next debit: 2024-07-10.
CUST100037,3,2,1,5611.98,4812.5,2024-06-30,1543527.66,Low,"Coursera, AnytimeFitness, Netflix","You have 3 active subscription(s). Total monthly spend: ₹5,611.98. Next debit: 2024-06-30."
CUST100038,4,2,2,2145.52,1246.53,2024-06-19,654799.92,High,"Amazon, AnytimeFitness, Netflix, TimesOfIndia","You have 4 active subscription(s). Total monthly spend: ₹2,145.52. Next debit: 2024-06-19."
CUST100039,4,3,1,4620.18,4474.34,2024-06-25,2240915.3,High,"Amazon, Coursera, TimesOfIndia, Spotify","You have 4 active subscription(s). Total monthly spend: ₹4,620.18. Next debit: 2024-06-25."
CUST100040,4,4,0,4285.72,4285.78,2024-06-28,1387259.65,High,"Apple, Coursera, Spotify, Zee5","You have 4 active subscription(s). Total monthly spend: ₹4,285.72. Next debit: 2024-06-28."
CUST100041,4,4,0,2944.43,2955.48,2024-06-11,636430.06,High,"Adobe, Amazon, BESCOM, Google","You have 4 active subscription(s). Total monthly spend: ₹2,944.43. Next debit: 2024-06-11."
CUST100042,1,1,0,3966.6,3992.12,2024-07-09,960749.5,Low,Coursera,"You have 1 active subscription(s). Total monthly spend: ₹3,966.60. Next debit: 2024-07-09."
CUST100043,1,1,0,178.16,177.84,2024-07-26,1028222.97,Low,Swiggy,You have 1 active subscription(s). Total monthly spend: ₹178.16. Next debit: 2024-07-26.
CUST100044,3,3,0,1890.56,1894.82,2024-07-14,1635185.96,Low,"Amazon, Disney+Hotstar, Zee5","You have 3 active subscription(s). Total monthly spend: ₹1,890.56. Next debit: 2024-07-14."
CUST100045,3,2,1,1627.67,1482.5,2024-06-29,1312172.58,High,"Google, TimesOfIndia, Zoom","You have 3 active subscription(s). Total monthly spend: ₹1,627.67. Next debit: 2024-06-29."
CUST100046,2,2,0,429.35,431.71,2024-07-10,1546126.31,Low,"Amazon, Google",You have 2 active subscription(s). Total monthly spend: ₹429.35. Next debit: 2024-07-10.
CUST100047,3,2,1,2022.61,1274.25,2024-06-26,2012692.46,High,"BESCOM, AnytimeFitness, Swiggy","You have 3 active subscription(s). Total monthly spend: ₹2,022.61. Next debit: 2024-06-26."
CUST100048,4,3,1,4273.01,4132.73,2024-06-20,1018162.9,High,"Adobe, Dropbox, Disney+Hotstar, TimesOfIndia","You have 4 active subscription(s). Total monthly spend: ₹4,273.01. Next debit: 2024-06-20."
CUST100049,2,2,0,596.88,596.65,2024-07-26,2113183.55,High,"Microsoft, Zee5",You have 2 active subscription(s). Total monthly spend: ₹596.88. Next debit: 2024-07-26.
CUST100050,3,3,0,1730.96,1729.95,2024-06-23,1671226.75,Low,"Google, Disney+Hotstar, Zee5","You have 3 active subscription(s). Total monthly spend: ₹1,730.96. Next debit: 2024-06-23."
CUST100051,1,1,0,299.02,293.64,2024-07-21,1494954.72,Low,Amazon,You have 1 active subscription(s). Total monthly spend: ₹299.02. Next debit: 2024-07-21.
CUST100052,1,1,0,1485.37,1504.12,2024-07-22,1444802.06,Low,Disney+Hotstar,"You have 1 active subscription(s). Total monthly spend: ₹1,485.37. Next debit: 2024-07-22."
CUST100053,3,3,0,550.0,547.71,2024-06-11,2390811.78,Low,"Amazon, Google, Spotify",You have 3 active subscription(s). Total monthly spend: ₹550.00. Next debit: 2024-06-11.
CUST100054,3,2,1,1573.56,825.51,2024-07-04,2027841.02,Low,"Apple, AnytimeFitness, Microsoft","You have 3 active subscription(s). Total monthly spend: ₹1,573.56. Next debit: 2024-07-04."
CUST100055,4,4,0,6253.76,6249.58,2024-06-11,1334818.02,High,"Coursera, Disney+Hotstar, Netflix, Zee5","You have 4 active subscription(s). Total monthly spend: ₹6,253.76. Next debit: 2024-06-11."
CUST100056,4,4,0,5870.36,5855.6,2024-07-02,1590414.01,High,"Adobe, Apple, Coursera, Spotify","You have 4 active subscription(s). Total monthly spend: ₹5,870.36. Next debit: 2024-07-02."
CUST100057,1,1,0,847.13,843.32,2024-07-08,731278.05,Low,BESCOM,You have 1 active subscription(s). Total monthly spend: ₹847.13. Next debit: 2024-07-08.
CUST100058,3,3,0,5449.15,5445.86,2024-06-10,2187123.94,High,"Disney+Hotstar, LinkedIn, Zoom","You have 3 active subscription(s). Total monthly spend: ₹5,449.15. Next debit: 2024-06-10."
CUST100059,3,3,0,4146.58,4151.59,2024-06-05,830030.13,High,"LinkedIn, YouTube, Zoom","You have 3 active subscription(s). Total monthly spend: ₹4,146.58. Next debit: 2024-06-05."
CUST100060,1,1,0,900.71,900.79,2024-07-06,1196025.35,Low,Dropbox,You have 1 active subscription(s). Total monthly spend: ₹900.71. Next debit: 2024-07-06.
CUST100061,2,2,0,1013.86,1011.28,2024-07-19,2178113.14,High,"Dropbox, Spotify","You have 2 active subscription(s). Total monthly spend: ₹1,013.86. Next debit: 2024-07-19."
CUST100062,4,4,0,5473.57,5478.06,2024-07-01,2430317.56,High,"Amazon, Coursera, CultFit, Swiggy","You have 4 active subscription(s). Total monthly spend: ₹5,473.57. Next debit: 2024-07-01."
CUST100063,3,3,0,3608.35,3613.78,2024-06-20,2275208.89,High,"BESCOM, Google, LinkedIn","You have 3 active subscription(s). Total monthly spend: ₹3,608.35. Next debit: 2024-06-20."
CUST100064,1,1,0,1670.58,1668.86,2024-06-05,570578.04,Low,Adobe,"You have 1 active subscription(s). Total monthly spend: ₹1,670.58. Next debit: 2024-06-05."
CUST100065,2,2,0,1394.38,1392.37,2024-07-05,1562010.67,Low,"Zee5, Zoom","You have 2 active subscription(s). Total monthly spend: ₹1,394.38. Next debit: 2024-07-05."
CUST100066,3,3,0,3795.11,3824.87,2024-07-19,1494818.67,High,"CultFit, Disney+Hotstar, Zoom","You have 3 active subscription(s). Total monthly spend: ₹3,795.11. Next debit: 2024-07-19."
CUST100067,2,2,0,1145.98,1149.65,2024-07-08,1172227.06,Low,"Microsoft, Netflix","You have 2 active subscription(s). Total monthly spend: ₹1,145.98. Next debit: 2024-07-08."
CUST100068,3,3,0,2135.92,2134.29,2024-06-10,2098641.83,High,"Netflix, YouTube, Zoom","You have 3 active subscription(s). Total monthly spend: ₹2,135.92. Next debit: 2024-06-10."
CUST100069,1,1,0,1298.1,1297.13,2024-07-06,1577009.72,Low,Zoom,"You have 1 active subscription(s). Total monthly spend: ₹1,298.10. Next debit: 2024-07-06."
CUST100070,3,2,1,3949.5,3214.65,2024-07-01,527826.54,Low,"Amazon, AnytimeFitness, LinkedIn","You have 3 active subscription(s). Total monthly spend: ₹3,949.50. Next debit: 2024-07-01."
CUST100071,3,3,0,1529.38,1533.26,2024-06-04,1407369.49,High,"Dropbox, Google, Microsoft","You have 3 active subscription(s). Total monthly spend: ₹1,529.38. Next debit: 2024-06-04."
CUST100072,4,4,0,2660.62,2653.72,2024-06-14,1728385.02,High,"Dropbox, Disney+Hotstar, Swiggy, Zee5","You have 4 active subscription(s). Total monthly spend: ₹2,660.62. Next debit: 2024-06-14."
CUST100073,2,2,0,1427.01,1423.43,2024-06-09,2494763.07,Low,"Spotify, Zoom","You have 2 active subscription(s). Total monthly spend: ₹1,427.01. Next debit: 2024-06-09."
CUST100074,2,1,1,1494.75,748.87,2024-07-09,2373044.66,High,"AnytimeFitness, Microsoft","You have 2 active subscription(s). Total monthly spend: ₹1,494.75. Next debit: 2024-07-09."
CUST100075,2,2,0,277.2,275.8,2024-07-02,1752719.66,Low,"Swiggy, Zee5",You have 2 active subscription(s). Total monthly spend: ₹277.20. Next debit: 2024-07-02.
CUST100076,1,1,0,119.46,119.14,2024-07-11,1435047.7,Low,Spotify,You have 1 active subscription(s). Total monthly spend: ₹119.46. Next debit: 2024-07-11.
CUST100077,3,2,1,1236.57,1095.88,2024-06-25,2325592.83,Low,"BESCOM, TimesOfIndia, YouTube","You have 3 active subscription(s). Total monthly spend: ₹1,236.57. Next debit: 2024-06-25."
CUST100078,1,1,0,74.1,74.2,2024-07-25,1513951.72,Low,Apple,You have 1 active subscription(s). Total monthly spend: ₹74.10. Next debit: 2024-07-25.
CUST100079,3,3,0,1158.94,1163.43,2024-06-08,797118.69,High,"BESCOM, Spotify, YouTube","You have 3 active subscription(s). Total monthly spend: ₹1,158.94. Next debit: 2024-06-08."
CUST100080,4,4,0,6665.09,6673.21,2024-05-22,1923679.23,High,"Adobe, Coursera, Dropbox, Zee5","You have 4 active subscription(s). Total monthly spend: ₹6,665.09. Next debit: 2024-05-22."
CUST100081,2,2,0,2753.28,2747.95,2024-07-02,1036541.12,Low,"LinkedIn, Zee5","You have 2 active subscription(s). Total monthly spend: ₹2,753.28. Next debit: 2024-07-02."
CUST100082,4,4,0,8328.47,8340.64,2024-05-29,2676663.16,High,"Coursera, Google, Disney+Hotstar, LinkedIn","You have 4 active subscription(s). Total monthly spend: ₹8,328.47. Next debit: 2024-05-29."
CUST100083,1,1,0,1678.64,1690.44,2024-07-05,1524405.44,Low,Adobe,"You have 1 active subscription(s). Total monthly spend: ₹1,678.64. Next debit: 2024-07-05."
CUST100084,1,1,0,646.07,646.1,2024-07-12,817610.48,Low,Netflix,You have 1 active subscription(s). Total monthly spend: ₹646.07. Next debit: 2024-07-12.
CUST100085,3,2,1,1165.17,1019.09,2024-07-04,947031.88,High,"Apple, Dropbox, TimesOfIndia","You have 3 active subscription(s). Total monthly spend: ₹1,165.17. Next debit: 2024-07-04."
CUST100086,4,3,1,3736.18,2993.05,2024-06-07,1545053.73,Low,"Dropbox, BESCOM, AnytimeFitness, CultFit","You have 4 active subscription(s). Total monthly spend: ₹3,736.18. Next debit: 2024-06-07."
CUST100087,3,3,0,1974.92,1979.1,2024-06-17,1656389.32,High,"BESCOM, Google, CultFit","You have 3 active subscription(s). Total monthly spend: ₹1,974.92. Next debit: 2024-06-17."
CUST100088,4,4,0,5280.35,5282.66,2024-06-06,1827536.0,High,"Coursera, Google, CultFit, Spotify","You have 4 active subscription(s). Total monthly spend: ₹5,280.35. Next debit: 2024-06-06."
CUST100089,3,2,1,1281.07,535.79,2024-06-26,1492866.22,High,"AnytimeFitness, YouTube, Zee5","You have 3 active subscription(s). Total monthly spend: ₹1,281.07. Next debit: 2024-06-26."
CUST100090,3,3,0,4797.49,4817.07,2024-07-02,1634769.07,High,"Disney+Hotstar, LinkedIn, Netflix","You have 3 active subscription(s). Total monthly spend: ₹4,797.49. Next debit: 2024-07-02."
CUST100091,4,3,1,3810.53,3058.65,2024-07-02,2295864.37,Low,"Adobe, Amazon, BESCOM, AnytimeFitness","You have 4 active subscription(s). Total monthly spend: ₹3,810.53. Next debit: 2024-07-02."
CUST100092,1,0,1,999.12,250.06,2024-07-05,946942.35,Low,AnytimeFitness,You have 1 active subscription(s). Total monthly spend: ₹999.12. Next debit: 2024-07-05.
CUST100093,1,0,1,195.48,48.82,2024-07-08,1571582.23,High,TimesOfIndia,You have 1 active subscription(s). Total monthly spend: ₹195.48. Next debit: 2024-07-08.
CUST100094,3,3,0,1981.31,1985.37,2024-06-29,653192.35,Low,"Amazon, Disney+Hotstar, Swiggy","You have 3 active subscription(s). Total monthly spend: ₹1,981.31. Next debit: 2024-06-29."
CUST100095,4,3,1,2984.46,2213.84,2024-07-06,1098663.68,Low,"Adobe, Google, AnytimeFitness, YouTube","You have 4 active subscription(s). Total monthly spend: ₹2,984.46. Next debit: 2024-07-06."
CUST100096,3,3,0,1809.39,1844.6,2024-07-02,2379599.35,Low,"Google, Disney+Hotstar, YouTube","You have 3 active subscription(s). Total monthly spend: ₹1,809.39. Next debit: 2024-07-02."
CUST100097,1,1,0,991.9,977.6,2024-06-19,2449684.92,Low,CultFit,You have 1 active subscription(s). Total monthly spend: ₹991.90. Next debit: 2024-06-19.
CUST100098,2,1,1,1116.57,368.18,2024-07-03,1756457.21,High,"AnytimeFitness, Spotify","You have 2 active subscription(s). Total monthly spend: ₹1,116.57. Next debit: 2024-07-03."
CUST100099,3,3,0,1652.79,1650.94,2024-07-02,1959407.61,High,"Dropbox, Netflix, Zee5","You have 3 active subscription(s). Total monthly spend: ₹1,652.79. Next debit: 2024-07-02."
CUST100100,2,2,0,1760.96,1766.47,2024-07-13,2177837.41,High,"Adobe, Zee5","You have 2 active subscription(s). Total monthly spend: ₹1,760.96. Next debit: 2024-07-13."
CUST100101,4,4,0,2731.72,2726.02,2024-06-08,916045.61,Low,"Dropbox, Google, Disney+Hotstar, YouTube","You have 4 active subscription(s). Total monthly spend: ₹2,731.72. Next debit: 2024-06-08."
CUST100102,3,2,1,2895.17,2140.28,2024-07-10,1287675.31,High,"Dropbox, AnytimeFitness, CultFit","You have 3 active subscription(s). Total monthly spend: ₹2,895.17. Next debit: 2024-07-10."
CUST100103,3,3,0,3678.4,3666.27,2024-07-11,1386199.18,High,"Dropbox, Google, LinkedIn","You have 3 active subscription(s). Total monthly spend: ₹3,678.40. Next debit: 2024-07-11."
CUST100104,2,2,0,1544.21,1551.97,2024-07-24,774943.77,Low,"Dropbox, Netflix","You have 2 active subscription(s). Total monthly spend: ₹1,544.21. Next debit: 2024-07-24."
CUST100105,1,1,0,2645.62,2645.28,2024-07-19,2586630.26,High,LinkedIn,"You have 1 active subscription(s). Total monthly spend: ₹2,645.62. Next debit: 2024-07-19."
CUST100106,2,2,0,417.13,416.95,2024-07-14,2722485.02,Low,"Amazon, Spotify",You have 2 active subscription(s). Total monthly spend: ₹417.13. Next debit: 2024-07-14.
CUST100107,4,4,0,3841.87,3837.28,2024-06-28,690212.97,High,"BESCOM, Google, LinkedIn, YouTube","You have 4 active subscription(s). Total monthly spend: ₹3,841.87. Next debit: 2024-06-28."
CUST100108,4,3,1,3365.65,3213.82,2024-07-01,1000463.39,High,"Adobe, BESCOM, Netflix, TimesOfIndia","You have 4 active subscription(s). Total monthly spend: ₹3,365.65. Next debit: 2024-07-01."
CUST100109,2,2,0,1296.23,1294.15,2024-07-07,670018.31,Low,"Amazon, CultFit","You have 2 active subscription(s). Total monthly spend: ₹1,296.23. Next debit: 2024-07-07."
CUST100110,4,3,1,700.09,551.56,2024-06-28,2703594.45,High,"Amazon, Apple, Google, TimesOfIndia",You have 4 active subscription(s). Total monthly spend: ₹700.09. Next debit: 2024-06-28.
CUST100111,1,0,1,995.08,248.25,2024-07-07,2723081.34,Low,AnytimeFitness,You have 1 active subscription(s). Total monthly spend: ₹995.08. Next debit: 2024-07-07.
CUST100112,3,2,1,2474.47,1721.41,2024-07-02,1882752.27,Low,"AnytimeFitness, Swiggy, Zoom","You have 3 active subscription(s). Total monthly spend: ₹2,474.47. Next debit: 2024-07-02."
CUST100113,4,3,1,1362.25,1211.62,2024-07-04,1292724.98,Low,"Apple, Dropbox, TimesOfIndia, YouTube","You have 4 active subscription(s). Total monthly spend: ₹1,362.25. Next debit: 2024-07-04."
CUST100114,1,0,1,195.96,48.96,2024-07-02,1457358.82,High,TimesOfIndia,You have 1 active subscription(s). Total monthly spend: ₹195.96. Next debit: 2024-07-02.
CUST100115,3,2,1,1271.3,523.6,2024-06-21,2766972.49,High,"AnytimeFitness, Swiggy, Zee5","You have 3 active subscription(s). Total monthly spend: ₹1,271.30. Next debit: 2024-06-21."
CUST100116,3,3,0,3145.71,3147.99,2024-07-15,725869.62,High,"BESCOM, CultFit, Zoom","You have 3 active subscription(s). Total monthly spend: ₹3,145.71. Next debit: 2024-07-15."
CUST100117,1,1,0,178.77,176.67,2024-07-07,1316923.81,Low,Swiggy,You have 1 active subscription(s). Total monthly spend: ₹178.77. Next debit: 2024-07-07.
CUST100118,1,0,1,196.04,49.32,2024-07-02,1387041.25,Low,TimesOfIndia,You have 1 active subscription(s). Total monthly spend: ₹196.04. Next debit: 2024-07-02.
CUST100119,4,4,0,3153.58,3152.98,2024-06-19,645191.36,High,"Adobe, Amazon, CultFit, YouTube","You have 4 active subscription(s). Total monthly spend: ₹3,153.58. Next debit: 2024-06-19."
CUST100120,2,2,0,4159.73,4182.19,2024-07-20,553486.5,Low,"Disney+Hotstar, LinkedIn","You have 2 active subscription(s). Total monthly spend: ₹4,159.73. Next debit: 2024-07-20."
CUST100121,4,4,0,1604.57,1603.97,2024-07-02,648495.95,Low,"Apple, BESCOM, Microsoft, Swiggy","You have 4 active subscription(s). Total monthly spend: ₹1,604.57. Next debit: 2024-07-02."
CUST100122,3,3,0,3831.94,3852.51,2024-07-09,1681484.49,High,"Adobe, Disney+Hotstar, Netflix","You have 3 active subscription(s). Total monthly spend: ₹3,831.94. Next debit: 2024-07-09."
CUST100123,3,3,0,1868.2,1856.63,2024-06-08,2656940.44,High,"Dropbox, BESCOM, Spotify","You have 3 active subscription(s). Total monthly spend: ₹1,868.20. Next debit: 2024-06-08."
CUST100124,2,1,1,1896.45,1151.3,2024-07-02,809632.33,Low,"Dropbox, AnytimeFitness","You have 2 active subscription(s). Total monthly spend: ₹1,896.45. Next debit: 2024-07-02."
CUST100125,4,4,0,5847.55,5847.6,2024-07-02,2190232.31,High,"Coursera, Dropbox, BESCOM, Zee5","You have 4 active subscription(s). Total monthly spend: ₹5,847.55. Next debit: 2024-07-02."
CUST100126,4,3,1,3254.3,3110.45,2024-07-08,1549208.72,High,"Dropbox, BESCOM, TimesOfIndia, Zoom","You have 4 active subscription(s). Total monthly spend: ₹3,254.30. Next debit: 2024-07-08."
CUST100127,1,1,0,300.48,303.39,2024-07-15,1500007.78,Low,Amazon,You have 1 active subscription(s). Total monthly spend: ₹300.48. Next debit: 2024-07-15.
CUST100128,3,3,0,3271.64,3272.28,2024-06-29,2189066.08,High,"LinkedIn, Microsoft, Zee5","You have 3 active subscription(s). Total monthly spend: ₹3,271.64. Next debit: 2024-06-29."
CUST100129,2,2,0,3164.94,3160.07,2024-07-19,992898.16,Low,"Adobe, Disney+Hotstar","You have 2 active subscription(s). Total monthly spend: ₹3,164.94. Next debit: 2024-07-19."
CUST100130,4,4,0,1397.89,1398.04,2024-05-30,2179468.27,High,"Amazon, Apple, BESCOM, Swiggy","You have 4 active subscription(s). Total monthly spend: ₹1,397.89. Next debit: 2024-05-30."
CUST100131,2,1,1,2657.11,1907.25,2024-07-05,1564588.15,Low,"Adobe, AnytimeFitness","You have 2 active subscription(s). Total monthly spend: ₹2,657.11. Next debit: 2024-07-05."
CUST100132,4,4,0,3131.77,3122.68,2024-06-01,2712268.66,High,"Adobe, Apple, Zee5, Zoom","You have 4 active subscription(s). Total monthly spend: ₹3,131.77. Next debit: 2024-06-01."
CUST100133,4,3,1,6346.74,5627.01,2024-06-11,2822324.27,High,"Coursera, BESCOM, AnytimeFitness, Microsoft","You have 4 active subscription(s). Total monthly spend: ₹6,346.74. Next debit: 2024-06-11."
CUST100134,1,1,0,1674.81,1676.63,2024-07-06,2388785.0,Low,Adobe,"You have 1 active subscription(s). Total monthly spend: ₹1,674.81. Next debit: 2024-07-06."
CUST100135,2,1,1,326.34,179.1,2024-06-27,2680325.41,Low,"Google, TimesOfIndia",You have 2 active subscription(s). Total monthly spend: ₹326.34. Next debit: 2024-06-27.
CUST100136,3,3,0,4412.74,4373.85,2024-07-10,1055977.04,High,"Amazon, Coursera, Spotify","You have 3 active subscription(s). Total monthly spend: ₹4,412.74. Next debit: 2024-07-10."
CUST100137,1,1,0,298.03,297.55,2024-06-13,2540398.73,High,Amazon,You have 1 active subscription(s). Total monthly spend: ₹298.03. Next debit: 2024-06-13.
CUST100138,1,1,0,1292.19,1300.46,2024-07-28,1451033.84,Low,Zoom,"You have 1 active subscription(s). Total monthly spend: ₹1,292.19. Next debit: 2024-07-28."
CUST100139,1,1,0,651.91,648.3,2024-07-02,723191.34,Low,Netflix,You have 1 active subscription(s). Total monthly spend: ₹651.91. Next debit: 2024-07-02.
CUST100140,4,3,1,2247.92,2106.76,2024-07-06,642843.8,High,"Adobe, TimesOfIndia, Swiggy, YouTube","You have 4 active subscription(s). Total monthly spend: ₹2,247.92. Next debit: 2024-07-06."
CUST100141,2,2,0,1801.23,1804.31,2024-07-16,1721381.43,Low,"Adobe, Spotify","You have 2 active subscription(s). Total monthly spend: ₹1,801.23. Next debit: 2024-07-16."
CUST100142,2,2,0,2508.54,2506.57,2024-06-25,785008.0,High,"CultFit, Disney+Hotstar","You have 2 active subscription(s). Total monthly spend: ₹2,508.54. Next debit: 2024-06-25."
